ProductID,Date,Sales,Price,CompetitionPrice,Holiday,StartingWeek,Weekend,Sales_lag_1,Sales_lag_2,Sales_lag_3
1,2020-01-27,230.0,160.45,135.0,0,0,2,243.0,261.0,212.5
1,2020-02-03,240.5,111.35,113.29,0,3,2,230.0,243.0,261.0
1,2020-02-10,270.0,183.83,200.86,1,4,2,240.5,230.0,243.0
1,2020-02-17,231.5,134.75,148.05,0,0,2,270.0,240.5,230.0
1,2020-02-24,234.0,153.95,153.12,0,0,2,231.5,270.0,240.5
1,2020-03-02,263.0,130.69,128.09,0,2,2,234.0,231.5,270.0
1,2020-03-09,229.0,116.37,128.58,0,5,2,263.0,234.0,231.5
1,2020-03-16,226.0,142.79,121.39,0,0,2,229.0,263.0,234.0
1,2020-03-23,264.5,165.83,191.53,1,0,2,226.0,229.0,263.0
1,2020-03-30,244.5,116.63,136.45,0,0,2,264.5,226.0,229.0
1,2020-04-06,257.5,169.31,142.51,0,6,2,244.5,264.5,226.0
1,2020-04-13,234.0,136.08,161.81,0,1,2,257.5,244.5,264.5
1,2020-04-20,235.0,167.32,169.88,0,0,2,234.0,257.5,244.5
1,2020-04-27,261.0,186.15,171.1,0,0,2,235.0,234.0,257.5
1,2020-05-04,233.5,163.34,170.84,1,4,2,261.0,235.0,234.0
1,2020-05-11,252.5,191.57,224.58,0,3,2,233.5,261.0,235.0
1,2020-05-18,275.5,174.7,153.9,0,0,2,252.5,233.5,261.0
1,2020-05-25,241.0,151.23,166.22,2,0,2,275.5,252.5,233.5
1,2020-06-01,282.5,156.2,174.69,1,1,2,241.0,275.5,252.5
1,2020-06-08,214.5,112.67,113.81,0,6,2,282.5,241.0,275.5
1,2020-06-15,232.5,147.99,135.98,0,0,2,214.5,282.5,241.0
1,2020-06-22,236.0,152.97,155.96,0,0,2,232.5,214.5,282.5
1,2020-06-29,232.0,144.42,144.72,0,0,2,236.0,232.5,214.5
1,2020-07-06,226.5,161.47,164.07,0,6,2,232.0,236.0,232.5
1,2020-07-13,246.0,159.82,135.59,0,1,2,226.5,232.0,236.0
1,2020-07-20,216.0,131.61,130.3,0,0,2,246.0,226.5,232.0
1,2020-07-27,239.0,189.46,197.08,0,0,2,216.0,246.0,226.5
1,2020-08-03,247.5,110.99,131.2,3,3,2,239.0,216.0,246.0
1,2020-08-10,251.5,123.77,143.98,0,4,2,247.5,239.0,216.0
1,2020-08-17,267.5,176.4,196.63,1,0,2,251.5,247.5,239.0
1,2020-08-24,277.5,103.48,108.33,0,0,2,267.5,251.5,247.5
1,2020-08-31,223.5,190.97,177.91,2,0,2,277.5,267.5,251.5
1,2020-09-07,240.0,172.84,201.53,0,7,2,223.5,277.5,267.5
1,2020-09-14,234.0,100.61,102.6,0,0,2,240.0,223.5,277.5
1,2020-09-21,235.0,165.8,179.53,0,0,2,234.0,240.0,223.5
1,2020-09-28,223.0,185.38,203.59,0,0,2,235.0,234.0,240.0
1,2020-10-05,259.5,134.14,155.86,0,5,2,223.0,235.0,234.0
1,2020-10-12,253.5,158.52,168.88,0,2,2,259.5,223.0,235.0
1,2020-10-19,218.0,123.62,114.11,0,0,2,253.5,259.5,223.0
1,2020-10-26,255.0,112.46,90.59,0,0,2,218.0,253.5,259.5
1,2020-11-02,238.5,102.81,115.09,1,2,2,255.0,218.0,253.5
1,2020-11-09,227.5,170.21,141.61,0,5,2,238.5,255.0,218.0
1,2020-11-16,242.5,118.76,103.93,0,0,2,227.5,238.5,255.0
1,2020-11-23,245.0,133.26,110.34,0,0,2,242.5,227.5,238.5
1,2020-11-30,251.0,143.91,167.63,0,0,2,245.0,242.5,227.5
1,2020-12-07,224.0,155.14,149.4,0,7,2,251.0,245.0,242.5
1,2020-12-14,263.5,102.02,113.85,0,0,2,224.0,251.0,245.0
1,2020-12-21,247.0,169.43,185.97,0,0,2,263.5,224.0,251.0
1,2020-12-28,260.0,126.05,111.39,1,0,2,247.0,263.5,224.0
1,2021-01-04,216.5,177.83,149.36,0,4,2,260.0,247.0,263.5
1,2021-01-11,268.0,142.26,162.64,0,3,2,216.5,260.0,247.0
1,2021-01-18,274.5,125.09,107.18,0,0,2,268.0,216.5,260.0
1,2021-01-25,234.5,106.58,89.46,0,0,2,274.5,268.0,216.5
1,2021-02-01,213.5,186.18,159.32,0,1,2,234.5,274.5,268.0
1,2021-02-08,234.0,114.7,103.53,1,6,2,213.5,234.5,274.5
1,2021-02-15,247.5,124.88,133.29,0,0,2,234.0,213.5,234.5
1,2021-02-22,259.5,138.2,133.58,0,0,2,247.5,234.0,213.5
1,2021-03-01,225.5,126.01,136.13,0,1,2,259.5,247.5,234.0
1,2021-03-08,230.0,106.2,118.43,0,6,2,225.5,259.5,247.5
1,2021-03-15,237.0,130.26,126.36,0,0,2,230.0,225.5,259.5
1,2021-03-22,229.5,130.4,153.59,0,0,2,237.0,230.0,225.5
1,2021-03-29,237.5,138.4,135.67,1,0,2,229.5,237.0,230.0
1,2021-04-05,198.5,140.1,142.2,0,5,2,237.5,229.5,237.0
1,2021-04-12,229.0,101.46,115.67,0,2,2,198.5,237.5,229.5
1,2021-04-19,240.5,137.06,144.29,0,0,2,229.0,198.5,237.5
1,2021-04-26,215.5,129.71,111.9,0,0,2,240.5,229.0,198.5
1,2021-05-03,225.5,124.94,113.79,1,3,2,215.5,240.5,229.0
1,2021-05-10,257.5,168.89,138.83,0,4,2,225.5,215.5,240.5
1,2021-05-17,282.5,191.83,202.96,3,0,2,257.5,225.5,215.5
1,2021-05-24,271.0,129.76,130.19,0,0,2,282.5,257.5,225.5
1,2021-05-31,247.5,188.47,178.11,0,0,2,271.0,282.5,257.5
1,2021-06-07,264.0,123.45,116.17,0,7,2,247.5,271.0,282.5
1,2021-06-14,230.0,176.05,186.47,0,0,2,264.0,247.5,271.0
1,2021-06-21,231.5,146.47,160.96,0,0,2,230.0,264.0,247.5
1,2021-06-28,242.5,117.71,112.54,0,0,2,231.5,230.0,264.0
1,2021-07-05,200.5,121.38,125.66,0,5,2,242.5,231.5,230.0
1,2021-07-12,253.0,181.89,151.69,0,2,2,200.5,242.5,231.5
1,2021-07-19,262.5,165.51,149.28,0,0,2,253.0,200.5,242.5
1,2021-07-26,294.5,133.83,133.06,3,0,2,262.5,253.0,200.5
1,2021-08-02,247.5,159.52,129.97,0,2,2,294.5,262.5,253.0
1,2021-08-09,235.5,161.41,159.84,0,5,2,247.5,294.5,262.5
1,2021-08-16,230.0,171.54,204.13,1,0,2,235.5,247.5,294.5
1,2021-08-23,246.5,167.46,147.25,2,0,2,230.0,235.5,247.5
1,2021-08-30,270.0,177.1,163.64,0,0,2,246.5,230.0,235.5
1,2021-09-06,230.0,163.93,156.4,0,6,2,270.0,246.5,230.0
1,2021-09-13,224.5,149.84,163.32,0,1,2,230.0,270.0,246.5
1,2021-09-20,235.5,147.31,173.9,0,0,2,224.5,230.0,270.0
1,2021-09-27,230.5,118.06,132.92,0,0,2,235.5,224.5,230.0
1,2021-10-04,234.0,188.46,213.51,0,4,2,230.5,235.5,224.5
